id_student,gender,region,highest_education,imd_band,disability
56637,M,East Midlands Region,Lower Than A Level,50-60%,Y
56667,M,Yorkshire Region,Lower Than A Level,40-50%,N
56789,F,South East Region,A Level or Equivalent,60-70%,N
57079,F,London Region,Lower Than A Level,30-40%,N
57227,F,North Western Region,Lower Than A Level,60-70%,N
57285,F,London Region,A Level or Equivalent,0-10%,N
57340,F,East Anglian Region,A Level or Equivalent,20-30%,N
57359,M,East Midlands Region,HE Qualification,40-50%,N
57369,M,Ireland,Lower Than A Level,40-50%,N
57506,M,South Region,Lower Than A Level,70-80%,N
57818,M,Wales,A Level or Equivalent,80-90%,N
57844,M,South West Region,A Level or Equivalent,90-100%,N
58071,M,East Anglian Region,HE Qualification,90-100%,N
58077,M,North Region,Lower Than A Level,20-30%,N
58089,F,West Midlands Region,A Level or Equivalent,40-50%,N
58221,M,East Midlands Region,Lower Than A Level,40-50%,N
58316,F,Wales,A Level or Equivalent,70-80%,N
58520,F,South Region,A Level or Equivalent,50-60%,Y
58549,M,North Region,A Level or Equivalent,,N
58617,M,East Midlands Region,A Level or Equivalent,70-80%,N
58640,M,Scotland,A Level or Equivalent,50-60%,Y
58653,F,North Western Region,Lower Than A Level,80-90%,N
58731,F,South West Region,A Level or Equivalent,40-50%,Y
58873,F,East Anglian Region,A Level or Equivalent,20-30%,N
58884,M,South Region,A Level or Equivalent,40-50%,Y
59185,M,East Anglian Region,Lower Than A Level,60-70%,N
59272,F,South East Region,Lower Than A Level,60-70%,N
59275,M,Scotland,HE Qualification,40-50%,N
59370,M,Ireland,A Level or Equivalent,0-10%,N
59541,M,East Anglian Region,A Level or Equivalent,40-50%,Y
59725,F,Wales,HE Qualification,40-50%,N
60135,F,West Midlands Region,A Level or Equivalent,,N
60162,F,London Region,A Level or Equivalent,30-40%,N
60405,F,Yorkshire Region,A Level or Equivalent,10-20,N
60416,F,East Anglian Region,Lower Than A Level,60-70%,N
60519,F,London Region,A Level or Equivalent,0-10%,N
60809,M,South East Region,Lower Than A Level,90-100%,N
60830,F,South Region,HE Qualification,60-70%,N
61118,F,London Region,A Level or Equivalent,20-30%,N
61227,F,East Anglian Region,Lower Than A Level,80-90%,Y
61236,M,South West Region,HE Qualification,50-60%,N
61297,F,East Midlands Region,No Formal quals,0-10%,N
61352,F,Yorkshire Region,A Level or Equivalent,0-10%,N
61911,M,Wales,Lower Than A Level,50-60%,N
62034,M,West Midlands Region,Lower Than A Level,50-60%,N
62155,F,North Western Region,HE Qualification,50-60%,N
62278,M,West Midlands Region,A Level or Equivalent,30-40%,N
62487,F,East Midlands Region,A Level or Equivalent,10-20,N
62631,F,North Western Region,A Level or Equivalent,20-30%,N
62975,M,South Region,Lower Than A Level,,N
63015,F,East Anglian Region,Lower Than A Level,70-80%,N
63044,F,London Region,Lower Than A Level,20-30%,N
63112,M,South East Region,Lower Than A Level,80-90%,N
63165,M,South East Region,A Level or Equivalent,80-90%,N
63295,M,South Region,HE Qualification,90-100%,N
63371,M,Ireland,Lower Than A Level,,N
63400,M,Scotland,Lower Than A Level,40-50%,N
63467,F,North Western Region,A Level or Equivalent,50-60%,N
63566,M,South East Region,HE Qualification,70-80%,N
63721,F,South East Region,Lower Than A Level,80-90%,Y
63827,M,South West Region,Lower Than A Level,40-50%,N
63856,M,Scotland,A Level or Equivalent,60-70%,N
63949,F,Ireland,Lower Than A Level,30-40%,N
63958,M,South Region,Lower Than A Level,10-20,N
64246,F,South East Region,Lower Than A Level,50-60%,N
64275,F,West Midlands Region,Lower Than A Level,0-10%,Y
64296,M,Scotland,HE Qualification,20-30%,N
64388,M,East Midlands Region,Lower Than A Level,60-70%,N
64427,M,London Region,A Level or Equivalent,0-10%,N
64450,M,West Midlands Region,Lower Than A Level,30-40%,N
64767,M,East Anglian Region,A Level or Equivalent,30-40%,N
64777,M,North Western Region,Lower Than A Level,30-40%,Y
64901,M,London Region,Lower Than A Level,10-20,N
65002,F,East Anglian Region,A Level or Equivalent,70-80%,N
65656,M,West Midlands Region,A Level or Equivalent,0-10%,N
65807,F,North Western Region,HE Qualification,10-20,N
66047,F,North Western Region,HE Qualification,0-10%,Y
66254,F,Ireland,A Level or Equivalent,,N
66451,M,Scotland,A Level or Equivalent,50-60%,N
66577,F,North Western Region,HE Qualification,10-20,N
66579,M,South Region,Lower Than A Level,40-50%,N
66713,M,South Region,A Level or Equivalent,90-100%,N
66892,M,London Region,A Level or Equivalent,20-30%,N
67182,F,South Region,A Level or Equivalent,80-90%,N
67471,F,London Region,Lower Than A Level,20-30%,N
67505,F,North Region,A Level or Equivalent,,N
67539,M,Ireland,Lower Than A Level,10-20,N
67602,M,Ireland,Lower Than A Level,30-40%,N
67685,M,South Region,A Level or Equivalent,10-20,N
67781,F,South Region,A Level or Equivalent,20-30%,N
67785,F,London Region,Lower Than A Level,20-30%,Y
67863,F,London Region,Lower Than A Level,10-20,N
67986,F,Scotland,Lower Than A Level,80-90%,N
68011,M,London Region,A Level or Equivalent,90-100%,N
68107,F,London Region,A Level or Equivalent,50-60%,Y
68208,M,Scotland,HE Qualification,70-80%,N
68376,M,Yorkshire Region,HE Qualification,90-100%,N
68417,M,Scotland,Lower Than A Level,70-80%,N
68556,F,South East Region,HE Qualification,70-80%,N
69239,F,East Midlands Region,Lower Than A Level,50-60%,Y
69346,M,London Region,A Level or Equivalent,30-40%,N
69439,M,East Midlands Region,Lower Than A Level,80-90%,N
69489,M,South West Region,Lower Than A Level,80-90%,N
69491,F,East Anglian Region,Lower Than A Level,80-90%,N
69494,F,Yorkshire Region,No Formal quals,20-30%,N
69703,M,Yorkshire Region,Lower Than A Level,20-30%,N
69843,F,South West Region,A Level or Equivalent,10-20,N
70011,F,Scotland,HE Qualification,40-50%,N
70214,M,Wales,Lower Than A Level,70-80%,N
70381,M,Scotland,HE Qualification,30-40%,N
70464,F,West Midlands Region,A Level or Equivalent,60-70%,N
70495,M,Scotland,Lower Than A Level,50-60%,N
70537,M,London Region,Lower Than A Level,10-20,N
70569,F,Wales,Lower Than A Level,0-10%,N
70608,F,South East Region,HE Qualification,70-80%,N
70750,F,London Region,Lower Than A Level,50-60%,N
70771,M,Scotland,HE Qualification,40-50%,N
70827,M,East Midlands Region,HE Qualification,30-40%,N
71159,M,North Region,Lower Than A Level,,N
71209,M,South East Region,Lower Than A Level,50-60%,N
71252,M,North Western Region,Lower Than A Level,0-10%,Y
71275,F,Ireland,Lower Than A Level,50-60%,N
71361,M,Ireland,HE Qualification,,N
71433,F,North Western Region,A Level or Equivalent,50-60%,N
71504,F,East Anglian Region,A Level or Equivalent,20-30%,N
71578,M,South Region,A Level or Equivalent,90-100%,N
71676,F,East Midlands Region,Lower Than A Level,80-90%,N
71723,M,North Western Region,A Level or Equivalent,10-20,N
71897,M,South East Region,A Level or Equivalent,40-50%,N
72057,F,Yorkshire Region,A Level or Equivalent,10-20,N
72070,M,South East Region,A Level or Equivalent,60-70%,N
72114,M,North Region,A Level or Equivalent,40-50%,Y
72349,F,Scotland,A Level or Equivalent,0-10%,N
72400,F,East Anglian Region,A Level or Equivalent,60-70%,Y
72451,M,East Midlands Region,Lower Than A Level,90-100%,N
72609,F,Wales,Lower Than A Level,50-60%,N
72693,F,Yorkshire Region,Lower Than A Level,40-50%,Y
72864,F,Yorkshire Region,Lower Than A Level,10-20,N
73019,M,Scotland,HE Qualification,50-60%,N
73489,F,South Region,HE Qualification,80-90%,N
73584,F,South West Region,Lower Than A Level,30-40%,N
73664,M,North Western Region,A Level or Equivalent,40-50%,N
73874,F,Wales,Lower Than A Level,90-100%,N
74113,M,Yorkshire Region,A Level or Equivalent,0-10%,N
74130,M,South Region,A Level or Equivalent,50-60%,N
74165,M,West Midlands Region,A Level or Equivalent,30-40%,N
74169,M,East Anglian Region,A Level or Equivalent,70-80%,N
74290,M,Scotland,Lower Than A Level,10-20,N
74372,M,East Anglian Region,A Level or Equivalent,10-20,N
74502,F,Wales,Lower Than A Level,60-70%,N
74521,M,North Region,HE Qualification,0-10%,N
74524,F,East Midlands Region,Lower Than A Level,70-80%,Y
74574,F,Scotland,Lower Than A Level,10-20,Y
74585,F,Wales,A Level or Equivalent,60-70%,N
74695,F,North Region,Lower Than A Level,40-50%,N
74734,F,North Western Region,Lower Than A Level,0-10%,N
75091,M,South West Region,A Level or Equivalent,30-40%,N
75107,M,North Region,Lower Than A Level,,N
75118,F,North Western Region,Lower Than A Level,0-10%,Y
75255,M,North Western Region,A Level or Equivalent,40-50%,N
75309,F,East Midlands Region,A Level or Equivalent,50-60%,N
75399,F,East Anglian Region,Lower Than A Level,60-70%,N
75427,M,East Midlands Region,Lower Than A Level,20-30%,N
75442,F,London Region,Lower Than A Level,10-20,N
75454,M,South West Region,A Level or Equivalent,80-90%,N
75469,M,East Midlands Region,A Level or Equivalent,80-90%,N
75728,F,South West Region,HE Qualification,30-40%,N
76081,F,East Midlands Region,Lower Than A Level,60-70%,Y
76196,F,North Western Region,Lower Than A Level,0-10%,Y
76536,F,West Midlands Region,Lower Than A Level,60-70%,N
76579,F,Yorkshire Region,HE Qualification,10-20,N
76949,M,London Region,HE Qualification,50-60%,N
77241,M,West Midlands Region,Lower Than A Level,30-40%,N
77367,M,East Midlands Region,A Level or Equivalent,30-40%,N
77692,M,Wales,HE Qualification,50-60%,N
77744,M,North Western Region,A Level or Equivalent,40-50%,N
77746,M,Wales,A Level or Equivalent,30-40%,N
77763,M,East Anglian Region,HE Qualification,20-30%,N
77845,M,East Midlands Region,A Level or Equivalent,30-40%,N
77995,M,East Midlands Region,A Level or Equivalent,10-20,N
77998,M,Ireland,Lower Than A Level,,N
78170,F,West Midlands Region,Lower Than A Level,30-40%,N
78255,F,North Region,Lower Than A Level,0-10%,N
78645,F,East Anglian Region,Lower Than A Level,40-50%,N
79261,M,South Region,A Level or Equivalent,90-100%,N
79378,F,London Region,Lower Than A Level,20-30%,Y
79403,M,South Region,Lower Than A Level,80-90%,N
79461,M,Scotland,A Level or Equivalent,70-80%,N
79610,M,West Midlands Region,A Level or Equivalent,60-70%,N
79683,M,Wales,A Level or Equivalent,30-40%,Y
80001,F,South West Region,Lower Than A Level,30-40%,N
80243,F,North Western Region,A Level or Equivalent,10-20,N
80329,M,South Region,Lower Than A Level,80-90%,N
80358,M,Scotland,Lower Than A Level,60-70%,N
80438,M,East Midlands Region,A Level or Equivalent,90-100%,N
80448,F,East Midlands Region,A Level or Equivalent,40-50%,N
80491,M,Scotland,Lower Than A Level,10-20,N
80717,F,South West Region,Lower Than A Level,60-70%,N
80745,F,East Midlands Region,A Level or Equivalent,40-50%,Y
80775,M,Wales,A Level or Equivalent,50-60%,N
80868,M,South West Region,Lower Than A Level,80-90%,N
80886,M,North Western Region,Lower Than A Level,70-80%,N
81216,M,South Region,Lower Than A Level,10-20,N
81351,M,Scotland,HE Qualification,90-100%,Y
81536,M,Scotland,Lower Than A Level,80-90%,N
81754,F,North Western Region,A Level or Equivalent,10-20,N
82088,F,East Midlands Region,HE Qualification,70-80%,N
82201,F,London Region,Lower Than A Level,50-60%,N
82341,F,South East Region,Lower Than A Level,90-100%,Y
82535,F,Wales,Lower Than A Level,20-30%,N
82556,M,Ireland,Lower Than A Level,70-80%,N
82575,M,West Midlands Region,HE Qualification,80-90%,N
82611,F,Wales,Lower Than A Level,10-20,N
82741,F,East Anglian Region,Lower Than A Level,50-60%,N
82817,F,London Region,HE Qualification,20-30%,N
83219,F,West Midlands Region,A Level or Equivalent,0-10%,N
83254,F,London Region,HE Qualification,10-20,N
83453,M,West Midlands Region,HE Qualification,40-50%,N
83553,M,West Midlands Region,Lower Than A Level,30-40%,N
83588,M,South West Region,HE Qualification,50-60%,N
83603,M,London Region,A Level or Equivalent,60-70%,N
84051,M,Wales,A Level or Equivalent,60-70%,N
84245,M,Wales,A Level or Equivalent,50-60%,N
84299,M,London Region,A Level or Equivalent,20-30%,N
84541,F,North Region,A Level or Equivalent,10-20,N
84576,M,Wales,HE Qualification,30-40%,N
84604,F,North Region,A Level or Equivalent,60-70%,N
84605,M,North Region,A Level or Equivalent,,N
84664,F,North Western Region,A Level or Equivalent,60-70%,N
84812,F,East Anglian Region,A Level or Equivalent,80-90%,N
85092,F,South West Region,Lower Than A Level,30-40%,N
85144,M,Scotland,A Level or Equivalent,50-60%,N
85216,F,Scotland,HE Qualification,10-20,N
85241,M,South West Region,Lower Than A Level,50-60%,Y
85302,M,London Region,Lower Than A Level,80-90%,N
85304,F,London Region,HE Qualification,20-30%,N
85325,F,South Region,Lower Than A Level,80-90%,N
85874,F,Scotland,HE Qualification,40-50%,N
86047,F,Wales,HE Qualification,20-30%,N
86291,F,Wales,HE Qualification,50-60%,N
86538,M,West Midlands Region,Lower Than A Level,60-70%,Y
86669,M,East Midlands Region,A Level or Equivalent,40-50%,N
87042,F,North Western Region,Lower Than A Level,0-10%,N
87107,F,South West Region,HE Qualification,70-80%,N
87152,M,East Anglian Region,Lower Than A Level,20-30%,Y
87264,M,South East Region,Lower Than A Level,30-40%,N
87322,M,Wales,Lower Than A Level,50-60%,Y
87431,M,South East Region,Lower Than A Level,10-20,N
87604,F,West Midlands Region,A Level or Equivalent,30-40%,N
87732,M,East Midlands Region,A Level or Equivalent,30-40%,N
87929,F,London Region,A Level or Equivalent,50-60%,N
88340,F,Wales,Lower Than A Level,30-40%,Y
88439,F,East Anglian Region,HE Qualification,30-40%,N
88490,M,Scotland,Post Graduate Qualification,90-100%,N
88568,M,North Western Region,HE Qualification,70-80%,N
88580,F,London Region,Lower Than A Level,10-20,N
88758,M,North Region,Post Graduate Qualification,,N
88781,M,South East Region,A Level or Equivalent,60-70%,N
88910,F,North Western Region,Lower Than A Level,10-20,N
88957,M,South East Region,Lower Than A Level,30-40%,N
89051,M,North Western Region,A Level or Equivalent,30-40%,Y
89092,F,Wales,Lower Than A Level,50-60%,N
89188,F,South Region,A Level or Equivalent,50-60%,Y
89545,M,South Region,HE Qualification,90-100%,N
89727,F,Wales,A Level or Equivalent,40-50%,N
89778,M,South East Region,A Level or Equivalent,70-80%,N
89850,F,South Region,HE Qualification,90-100%,N
89895,M,Yorkshire Region,Lower Than A Level,40-50%,N
89904,M,Wales,Lower Than A Level,30-40%,N
90243,F,Wales,HE Qualification,70-80%,N
90361,F,Wales,HE Qualification,20-30%,N
90537,F,Scotland,A Level or Equivalent,90-100%,Y
90651,M,South Region,A Level or Equivalent,90-100%,N
90836,M,West Midlands Region,A Level or Equivalent,50-60%,Y
90901,M,South Region,HE Qualification,20-30%,N
90979,F,East Anglian Region,HE Qualification,80-90%,N
91040,F,West Midlands Region,Lower Than A Level,20-30%,N
91041,F,Yorkshire Region,Lower Than A Level,0-10%,N
91164,M,London Region,HE Qualification,0-10%,Y
91265,M,North Western Region,HE Qualification,0-10%,N
91322,F,Yorkshire Region,A Level or Equivalent,40-50%,N
91354,M,Ireland,A Level or Equivalent,90-100%,Y
91470,F,East Anglian Region,A Level or Equivalent,50-60%,N
91629,M,Wales,A Level or Equivalent,20-30%,Y
91801,M,Yorkshire Region,Lower Than A Level,50-60%,N
92103,F,West Midlands Region,A Level or Equivalent,10-20,N
92166,M,South East Region,HE Qualification,90-100%,N
92274,F,East Anglian Region,Lower Than A Level,60-70%,N
92312,M,Wales,Lower Than A Level,50-60%,N
92341,F,North Western Region,Lower Than A Level,40-50%,N
