id_assessment,assessment_type,date,weight
34862,TMA,89.0,25.0
34863,TMA,131.0,25.0
34864,TMA,166.0,25.0
34872,Exam,222.0,100.0
34878,CMA,236.0,0.0
34879,CMA,236.0,0.0
34880,CMA,236.0,0.0
34881,CMA,236.0,0.0
34882,CMA,236.0,0.0
34884,CMA,236.0,0.0
34883,CMA,236.0,0.0
34873,TMA,19.0,12.5
34874,TMA,47.0,12.5
34875,TMA,96.0,25.0
34876,TMA,131.0,25.0
34877,TMA,173.0,25.0
34885,Exam,236.0,100.0
34891,CMA,227.0,0.0
34892,CMA,227.0,0.0
34893,CMA,227.0,0.0
34894,CMA,227.0,0.0
34895,CMA,227.0,0.0
34897,CMA,227.0,0.0
34896,CMA,227.0,0.0
34886,TMA,24.0,12.5
34887,TMA,52.0,12.5
34888,TMA,87.0,25.0
34889,TMA,129.0,25.0
34890,TMA,171.0,25.0
34898,Exam,227.0,100.0
34904,CMA,241.0,0.0
34905,CMA,241.0,0.0
34906,CMA,241.0,0.0
34907,CMA,241.0,0.0
34908,CMA,241.0,0.0
34910,CMA,241.0,0.0
34909,CMA,241.0,0.0
34899,TMA,24.0,12.5
34900,TMA,52.0,12.5
34901,TMA,94.0,25.0
34902,TMA,136.0,25.0
34903,TMA,199.0,25.0
34911,Exam,241.0,100.0
37418,CMA,229.0,0.0
37419,CMA,229.0,0.0
37420,CMA,229.0,0.0
37421,CMA,229.0,0.0
37422,CMA,229.0,0.0
37423,CMA,229.0,0.0
37415,TMA,61.0,0.0
37416,TMA,124.0,0.0
37417,TMA,173.0,0.0
37424,Exam,229.0,100.0
37428,CMA,222.0,0.0
37429,CMA,222.0,0.0
37430,CMA,222.0,0.0
37431,CMA,222.0,0.0
37432,CMA,222.0,0.0
37433,CMA,222.0,0.0
37425,TMA,61.0,0.0
37426,TMA,117.0,0.0
37427,TMA,166.0,0.0
37434,Exam,222.0,100.0
37438,CMA,229.0,0.0
37439,CMA,229.0,0.0
37440,CMA,229.0,0.0
37441,CMA,229.0,0.0
37442,CMA,229.0,0.0
37443,CMA,229.0,0.0
37435,TMA,61.0,0.0
37436,TMA,124.0,0.0
37437,TMA,173.0,0.0
37444,Exam,229.0,100.0
