code_module,code_presentation,id_student,studied_credits,num_of_prev_attempts,final_result,date_registration,date_unregistration,classification,revenue_status,base_revenue,extra_revenue,total_revenue
AAA,2013J,236284,60,0,Pass,2.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,238007,60,0,Pass,-151.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,240712,80,0,Pass,-45.0,,Pass,revenue_secured,800,0.0,800.0
AAA,2013J,240884,120,0,Pass,-47.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,241649,60,0,Pass,-50.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,241729,60,0,Fail,-31.0,,Fail,resit_fee_revenue,600,300.0,900.0
AAA,2013J,242793,60,0,Pass,-36.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,246834,60,0,Pass,-16.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,248270,90,0,Pass,-198.0,,Pass,revenue_secured,900,0.0,900.0
AAA,2013J,255548,60,0,Pass,-103.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,256815,120,0,Pass,-117.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,258392,60,0,Pass,-68.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,258894,60,0,Pass,-172.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,260355,60,0,Withdrawn,-186.0,170.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,262011,60,0,Pass,-145.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,262934,60,0,Pass,-191.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,268073,90,0,Fail,-33.0,,Fail,resit_fee_revenue,900,450.0,1350.0
AAA,2013J,268733,180,0,Withdrawn,-17.0,187.0,Withdrawn,revenue_lost,1800,0.0,1800.0
AAA,2013J,271251,60,0,Pass,-68.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,277880,60,0,Withdrawn,-108.0,177.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,279572,60,0,Distinction,-138.0,,Distinction,revenue_secured,600,0.0,600.0
AAA,2013J,281022,150,0,Pass,-74.0,,Pass,revenue_secured,1500,0.0,1500.0
AAA,2013J,281250,60,0,Fail,-64.0,,Fail,resit_fee_revenue,600,300.0,900.0
AAA,2013J,281589,60,0,Fail,-50.0,,Fail,resit_fee_revenue,600,300.0,900.0
AAA,2013J,282821,60,0,Pass,-107.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,286488,60,0,Pass,-8.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,287548,120,0,Pass,-52.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,290201,60,0,Pass,-96.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,290757,60,0,Pass,-141.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,291334,60,0,Distinction,-132.0,,Distinction,revenue_secured,600,0.0,600.0
AAA,2013J,292923,180,0,Withdrawn,-162.0,-121.0,Withdrawn,revenue_refunded,1800,0.0,450.0
AAA,2013J,293699,120,0,Pass,-27.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,294570,60,0,Pass,-80.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,294594,60,0,Pass,-145.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,295741,240,0,Fail,-17.0,,Fail,resit_fee_revenue,2400,1200.0,3600.0
AAA,2013J,296332,60,0,Distinction,-115.0,,Distinction,revenue_secured,600,0.0,600.0
AAA,2013J,298696,60,0,Pass,-32.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,300398,60,0,Pass,-59.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,302302,60,0,Fail,-83.0,,Fail,resit_fee_revenue,600,300.0,900.0
AAA,2013J,305152,60,0,Fail,-18.0,,Fail,resit_fee_revenue,600,300.0,900.0
AAA,2013J,305386,120,0,Pass,-66.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,305539,120,0,Withdrawn,-54.0,-3.0,Withdrawn,revenue_refunded,1200,0.0,300.0
AAA,2013J,306107,120,0,Pass,-107.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,306466,60,0,Pass,-58.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,306897,60,0,Pass,-123.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,307061,60,0,Pass,-31.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,307866,60,0,Pass,-107.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,311917,120,0,Pass,-121.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,312537,60,0,Distinction,-79.0,,Distinction,revenue_secured,600,0.0,600.0
AAA,2013J,312782,60,0,Pass,-59.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,318933,120,0,Pass,-100.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,319047,60,0,Pass,-47.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,321942,60,0,Pass,-67.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,324002,60,0,Pass,-32.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,324084,60,0,Pass,-165.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,324282,120,0,Pass,-32.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,331358,60,0,Withdrawn,-67.0,53.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,332789,60,0,Pass,-64.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,333059,120,0,Pass,-103.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,333323,60,0,Pass,-53.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,334259,150,0,Fail,-32.0,,Fail,resit_fee_revenue,1500,750.0,2250.0
AAA,2013J,334333,240,0,Withdrawn,-192.0,65.0,Withdrawn,revenue_lost,2400,0.0,2400.0
AAA,2013J,335764,60,0,Withdrawn,-196.0,160.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,336207,120,0,Pass,-110.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,339972,60,0,Pass,-57.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,341872,180,0,Fail,48.0,,Fail,resit_fee_revenue,1800,900.0,2700.0
AAA,2013J,342007,60,0,Withdrawn,-71.0,51.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,342514,60,0,Pass,-81.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,342972,60,0,Pass,-60.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,343446,120,0,Pass,-49.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,344282,60,0,Fail,-12.0,,Fail,resit_fee_revenue,600,300.0,900.0
AAA,2013J,345068,180,0,Pass,-37.0,,Pass,revenue_secured,1800,0.0,1800.0
AAA,2013J,345357,60,0,Distinction,-18.0,,Distinction,revenue_secured,600,0.0,600.0
AAA,2013J,346025,120,0,Pass,-75.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,346843,120,0,Fail,-44.0,,Fail,resit_fee_revenue,1200,600.0,1800.0
AAA,2013J,350188,60,0,Pass,-49.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,354858,120,0,Withdrawn,-32.0,5.0,Withdrawn,revenue_refunded,1200,0.0,300.0
AAA,2013J,357668,60,0,Fail,-38.0,,Fail,resit_fee_revenue,600,300.0,900.0
AAA,2013J,364177,60,0,Fail,-129.0,,Fail,resit_fee_revenue,600,300.0,900.0
AAA,2013J,365244,120,0,Pass,-38.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,365642,60,0,Pass,-52.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,366483,60,0,Pass,-4.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,368194,120,0,Pass,-123.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,368824,120,0,Fail,-60.0,,Fail,resit_fee_revenue,1200,600.0,1800.0
AAA,2013J,368963,180,0,Pass,-19.0,,Pass,revenue_secured,1800,0.0,1800.0
AAA,2013J,376439,60,0,Distinction,-87.0,,Distinction,revenue_secured,600,0.0,600.0
AAA,2013J,376581,60,0,Pass,-64.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,380953,60,0,Pass,-155.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,383254,120,0,Pass,-61.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,386924,120,0,Pass,-192.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,386952,120,0,Pass,-38.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,388722,60,0,Pass,-179.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,388885,60,0,Pass,-185.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,390890,90,0,Withdrawn,-31.0,202.0,Withdrawn,revenue_lost,900,0.0,900.0
AAA,2013J,392756,120,0,Fail,-58.0,,Fail,resit_fee_revenue,1200,600.0,1800.0
AAA,2013J,392931,120,0,Pass,-54.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,393207,60,0,Pass,-38.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,396872,180,0,Pass,-23.0,,Pass,revenue_secured,1800,0.0,1800.0
AAA,2013J,398552,240,0,Fail,-57.0,,Fail,resit_fee_revenue,2400,1200.0,3600.0
AAA,2013J,401869,60,0,Pass,-53.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,402470,60,0,Pass,-130.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,404804,120,0,Pass,-129.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,405088,120,0,Pass,-67.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,405961,240,0,Withdrawn,-170.0,-100.0,Withdrawn,revenue_refunded,2400,0.0,600.0
AAA,2013J,414117,120,0,Pass,-73.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,415969,90,0,Withdrawn,-60.0,172.0,Withdrawn,revenue_lost,900,0.0,900.0
AAA,2013J,420087,60,0,Fail,-15.0,,Fail,resit_fee_revenue,600,300.0,900.0
AAA,2013J,429958,60,0,Pass,-58.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,441018,150,0,Pass,-52.0,,Pass,revenue_secured,1500,0.0,1500.0
AAA,2013J,441888,120,0,Pass,-53.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,442442,120,0,Withdrawn,-32.0,119.0,Withdrawn,revenue_lost,1200,0.0,1200.0
AAA,2013J,444677,60,0,Distinction,-38.0,,Distinction,revenue_secured,600,0.0,600.0
AAA,2013J,470588,60,0,Withdrawn,-43.0,73.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,489455,60,0,Pass,-120.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,494424,60,0,Fail,-38.0,,Fail,resit_fee_revenue,600,300.0,900.0
AAA,2013J,495284,120,0,Pass,-29.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,498857,60,0,Pass,-16.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,508818,120,0,Pass,-156.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,512460,120,0,Pass,-32.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,544103,120,0,Pass,-127.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,550383,60,0,Pass,-51.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,564450,120,0,Fail,-43.0,,Fail,resit_fee_revenue,1200,600.0,1800.0
AAA,2013J,568601,60,0,Withdrawn,-30.0,128.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,572652,120,0,Pass,-158.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,580389,120,0,Pass,-22.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,581129,120,0,Fail,-38.0,,Fail,resit_fee_revenue,1200,600.0,1800.0
AAA,2013J,588775,120,0,Pass,-17.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,591774,60,0,Pass,-46.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,603861,60,0,Withdrawn,-38.0,241.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,606143,60,0,Fail,-43.0,,Fail,resit_fee_revenue,600,300.0,900.0
AAA,2013J,704156,120,0,Pass,-29.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,705379,120,0,Distinction,-57.0,,Distinction,revenue_secured,1200,0.0,1200.0
AAA,2013J,721259,120,0,Withdrawn,-73.0,23.0,Withdrawn,revenue_refunded,1200,0.0,300.0
AAA,2013J,749412,60,0,Pass,-138.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,760729,60,0,Distinction,-67.0,,Distinction,revenue_secured,600,0.0,600.0
AAA,2013J,905042,60,0,Pass,-91.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,949618,60,0,Pass,-59.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,958987,60,0,Pass,-67.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,968578,60,0,Pass,-170.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,969076,180,0,Withdrawn,-42.0,173.0,Withdrawn,revenue_lost,1800,0.0,1800.0
AAA,2013J,971027,60,0,Pass,-62.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,978739,60,0,Pass,-108.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,1035023,60,0,Pass,-87.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,1105478,60,0,Pass,-144.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,1352868,60,0,Withdrawn,-63.0,203.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,1401935,60,0,Fail,-35.0,,Fail,resit_fee_revenue,600,300.0,900.0
AAA,2013J,1402638,60,0,Pass,-195.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,1414443,120,0,Fail,-169.0,,Fail,resit_fee_revenue,1200,600.0,1800.0
AAA,2013J,1456619,60,0,Withdrawn,-87.0,27.0,Withdrawn,revenue_refunded,600,0.0,150.0
AAA,2013J,1465690,120,0,Pass,-38.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,1472925,60,0,Fail,20.0,,Fail,resit_fee_revenue,600,300.0,900.0
AAA,2013J,1488959,60,0,Pass,-30.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,1518989,60,0,Pass,-102.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,1618738,60,0,Pass,-95.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,1620151,60,0,Fail,-95.0,,Fail,resit_fee_revenue,600,300.0,900.0
AAA,2013J,1626710,60,0,Distinction,-195.0,,Distinction,revenue_secured,600,0.0,600.0
AAA,2013J,1640609,60,0,Pass,-191.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,1686521,60,0,Withdrawn,-124.0,37.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,1729319,60,0,Pass,-106.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,1746134,60,0,Pass,-30.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,1758449,75,0,Withdrawn,-198.0,103.0,Withdrawn,revenue_lost,750,0.0,750.0
AAA,2013J,1763015,60,0,Withdrawn,-58.0,-2.0,Withdrawn,revenue_refunded,600,0.0,150.0
AAA,2013J,1765788,60,0,Pass,-43.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,1801229,60,0,Pass,-106.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,1801641,60,0,Pass,-32.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,1847830,60,0,Pass,-164.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,1860318,300,0,Pass,-53.0,,Pass,revenue_secured,3000,0.0,3000.0
AAA,2013J,1889511,60,0,Pass,-42.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,1889577,60,0,Pass,-81.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,1894188,60,0,Pass,-57.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,1938355,60,0,Pass,-102.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,1942396,120,0,Pass,-29.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,1970390,60,0,Withdrawn,-108.0,240.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,1976139,120,0,Pass,-195.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,2011876,60,0,Pass,-32.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,2012966,60,0,Pass,-102.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,2051699,60,0,Pass,-137.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,2062879,60,0,Fail,-74.0,,Fail,resit_fee_revenue,600,300.0,900.0
AAA,2013J,2065691,330,0,Withdrawn,-16.0,138.0,Withdrawn,revenue_lost,3300,0.0,3300.0
AAA,2013J,2073016,60,0,Withdrawn,-65.0,173.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,2080474,60,0,Pass,-123.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,2083877,120,0,Pass,-45.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,2084066,60,0,Fail,-148.0,,Fail,resit_fee_revenue,600,300.0,900.0
AAA,2013J,2104505,60,0,Pass,-65.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,2122180,60,0,Distinction,-35.0,,Distinction,revenue_secured,600,0.0,600.0
AAA,2013J,2139353,120,0,Withdrawn,-59.0,163.0,Withdrawn,revenue_lost,1200,0.0,1200.0
AAA,2013J,2143752,60,0,Pass,-46.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,2146792,60,0,Pass,-59.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,2149225,60,0,Withdrawn,-36.0,10.0,Withdrawn,revenue_refunded,600,0.0,150.0
