id_student,date_registration,date_unregistration
45423,-31.0,
45462,-67.0,
45642,-29.0,
45664,-31.0,
46016,-129.0,190.0
46048,-28.0,12.0
46148,-23.0,
46605,-54.0,
46633,-162.0,0.0
46705,-61.0,
46753,-93.0,
46812,-29.0,39.0
46844,-74.0,
47061,-16.0,
47063,-73.0,153.0
47855,23.0,236.0
47861,-103.0,
47891,-73.0,
47924,-142.0,
48040,-92.0,
48152,-139.0,
48503,-146.0,
48635,-19.0,
49095,-284.0,-207.0
49119,-74.0,
49123,-74.0,
49530,-61.0,-43.0
49670,-54.0,6.0
50069,-134.0,
50263,-25.0,
50309,-90.0,0.0
50476,-23.0,
50487,-64.0,
50610,-151.0,
50619,-69.0,-16.0
50993,-53.0,
51030,-23.0,
51033,-154.0,
51153,-149.0,
51163,-179.0,
51253,-161.0,-109.0
51301,-52.0,46.0
51485,-18.0,
51576,-129.0,
51955,-51.0,
52014,4.0,
52130,-33.0,
52275,-136.0,
52426,-32.0,
52494,-190.0,-57.0
52702,-12.0,
52765,-22.0,
52797,-54.0,
52899,-117.0,86.0
53025,-179.0,
53136,-1.0,
53166,-75.0,
53197,-81.0,
53236,-81.0,5.0
53300,-24.0,
53360,-110.0,0.0
53488,-25.0,
53626,-26.0,
53632,-15.0,165.0
53709,-67.0,159.0
53895,-20.0,27.0
54062,-51.0,
54388,-51.0,0.0
54391,-4.0,109.0
54739,-149.0,-26.0
54772,-99.0,-92.0
54810,-54.0,82.0
54867,-82.0,
54882,-130.0,
55013,-54.0,
55026,-88.0,
55104,-87.0,
55242,-52.0,
55419,-39.0,124.0
55450,-66.0,
55968,-29.0,
56340,-120.0,
56637,-99.0,
56667,-46.0,
56789,-30.0,
57079,-129.0,
57227,-46.0,
57285,-29.0,
57340,-58.0,
57359,-45.0,4.0
57369,,-1.0
57506,-103.0,
57818,-139.0,
57844,-59.0,
58071,-72.0,
58077,-92.0,
58089,-58.0,
58221,-57.0,-19.0
58316,-80.0,
58520,-45.0,3.0
58549,-23.0,
58617,-22.0,
58640,-29.0,
58653,-80.0,
58731,4.0,
58873,-47.0,
58884,-50.0,
59185,-59.0,
59272,-58.0,
59275,-72.0,
59370,-33.0,
59541,-1.0,27.0
59725,-29.0,
60135,-90.0,
60162,4.0,
60405,-123.0,
60416,-64.0,
60519,-73.0,82.0
60809,-24.0,
60830,-32.0,
61118,-96.0,-16.0
61227,-38.0,
61236,-23.0,69.0
61297,-66.0,-2.0
61352,-144.0,39.0
61911,-80.0,
62034,-103.0,
62155,-68.0,
62278,-54.0,
62487,-50.0,
62631,-45.0,
62975,-53.0,
63015,-18.0,
63044,-43.0,
63112,-74.0,
63165,-82.0,
63295,-159.0,
63371,-32.0,
63400,-67.0,
63467,-143.0,
63566,-85.0,
63721,-73.0,
63827,-68.0,148.0
63856,-176.0,
63949,-99.0,
63958,-81.0,
64246,-58.0,-32.0
64275,-26.0,
64296,-25.0,
64388,-150.0,
64427,-78.0,
64450,-43.0,
64767,-24.0,152.0
64777,-123.0,
64901,-45.0,
65002,-180.0,96.0
65656,-138.0,
65807,-178.0,-61.0
66047,-166.0,39.0
66254,-26.0,
66451,-17.0,
66577,-32.0,
66579,-22.0,
66713,-155.0,
66892,-17.0,72.0
67182,-32.0,
67471,-124.0,
67505,-29.0,
67539,-46.0,
67602,-28.0,
67685,-137.0,-4.0
67781,-75.0,
67785,-24.0,
67863,-110.0,0.0
67986,-75.0,51.0
68011,-68.0,62.0
68107,-51.0,
68208,-29.0,
68376,-38.0,
68417,-86.0,
68556,-23.0,
69239,-207.0,-29.0
69346,-68.0,69.0
69439,-24.0,12.0
69489,-157.0,87.0
69491,-29.0,
69494,-103.0,22.0
69703,-124.0,
69843,-47.0,-28.0
70011,-78.0,
70214,-39.0,
70381,-37.0,
70464,-95.0,
70495,-100.0,
70537,-17.0,
70569,-36.0,
70608,-17.0,
70750,-31.0,5.0
70771,-17.0,115.0
70827,-29.0,108.0
71159,-44.0,
71209,-74.0,
71252,-138.0,
71275,-114.0,
71361,-130.0,
71433,-19.0,
71504,-93.0,
71578,-29.0,
71676,-59.0,
71723,-16.0,
71897,-145.0,24.0
72057,-39.0,-14.0
72070,-24.0,10.0
72114,-122.0,
72349,-60.0,58.0
72400,-221.0,
72451,-66.0,-15.0
72609,-23.0,
72693,-17.0,
72864,-159.0,
73019,-8.0,
73489,-11.0,
73584,-121.0,92.0
73664,-88.0,60.0
73874,-39.0,150.0
74113,-96.0,
74130,-201.0,-56.0
74165,-72.0,
74169,-100.0,-67.0
74290,-47.0,65.0
74372,-50.0,
74502,-139.0,
74521,-29.0,
74524,-57.0,
74574,-29.0,-22.0
74585,-39.0,
74695,-64.0,
74734,2.0,
75091,-107.0,
75107,-92.0,
75118,-117.0,-56.0
75255,-58.0,
75309,-221.0,-10.0
75399,-24.0,
75427,-30.0,
75442,-123.0,
75454,-92.0,
75469,-97.0,-22.0
75728,-23.0,
76081,-122.0,100.0
76196,-131.0,-50.0
76536,13.0,
76579,-57.0,144.0
76949,-37.0,
77241,-37.0,164.0
77367,-27.0,
77692,-46.0,
77744,-44.0,
77746,-173.0,
77763,-37.0,
77845,-54.0,
77995,-15.0,
77998,-11.0,220.0
78170,-156.0,
78255,-162.0,46.0
78645,-28.0,
79261,-29.0,
79378,-24.0,
79403,-23.0,164.0
79461,-62.0,215.0
79610,-61.0,
79683,-40.0,137.0
80001,-142.0,
80243,-150.0,12.0
80329,-61.0,178.0
80358,-17.0,
80438,-86.0,
80448,-4.0,227.0
80491,-58.0,198.0
80717,-33.0,
80745,-24.0,
80775,-45.0,
80868,-187.0,
80886,-94.0,78.0
81216,-27.0,-1.0
81351,-12.0,
81536,-50.0,
81754,-60.0,118.0
82088,-67.0,
82201,10.0,130.0
82341,-73.0,
82535,-19.0,
82556,-54.0,
82575,-29.0,
82611,-123.0,-12.0
82741,-60.0,
82817,-29.0,
83219,-29.0,
83254,-51.0,
83453,-68.0,125.0
83553,-16.0,
83588,-156.0,
83603,-17.0,
84051,-29.0,
84245,-27.0,
84299,-57.0,149.0
84541,-25.0,
84576,-43.0,
84604,-79.0,
84605,-46.0,170.0
84664,-92.0,
84812,-75.0,
85092,-52.0,
85144,-41.0,
85216,-101.0,
85241,-10.0,125.0
85302,-72.0,
85304,-43.0,-3.0
85325,-124.0,69.0
85874,-44.0,123.0
86047,-60.0,
86291,-15.0,72.0
86538,-24.0,157.0
86669,-39.0,
87042,-172.0,-122.0
87107,-22.0,
87152,-218.0,
87264,-36.0,
87322,-28.0,
87431,-106.0,235.0
87604,-111.0,-75.0
87732,-66.0,
87929,-99.0,
88340,-129.0,108.0
88439,-43.0,
88490,-93.0,
88568,-132.0,
88580,-23.0,-8.0
88758,-138.0,-59.0
88781,-85.0,
88910,-121.0,
88957,-137.0,-2.0
89051,-78.0,
89092,-30.0,
89188,-110.0,
89545,-74.0,
89727,-75.0,
89778,-121.0,
89850,-8.0,
89895,-64.0,
89904,-23.0,
90243,-18.0,
90361,-36.0,
90537,-75.0,
90651,-148.0,12.0
90836,-128.0,
90901,-32.0,
90979,-46.0,
91040,-108.0,230.0
91041,-3.0,95.0
91164,-31.0,
91265,-31.0,
91322,-19.0,
91354,-46.0,218.0
91470,-51.0,
91629,-44.0,
91801,-146.0,79.0
92103,-60.0,75.0
92166,-74.0,-49.0
92274,-96.0,132.0
92312,-54.0,
92341,-24.0,
92391,-145.0,
92775,-225.0,
92832,-65.0,
92947,-227.0,
92993,-43.0,
93925,-100.0,-16.0
94484,-107.0,
94616,-22.0,
94749,-22.0,
94923,-55.0,
94961,-170.0,72.0
94964,-24.0,
94978,-143.0,111.0
95356,-110.0,203.0
95746,-179.0,
95755,-80.0,241.0
95906,-27.0,
96117,-152.0,
96291,-51.0,42.0
96423,-60.0,
96475,-48.0,
96538,-26.0,
96592,-68.0,
96729,-44.0,
96864,-15.0,72.0
96873,-195.0,
96874,-36.0,
96945,-31.0,11.0
97006,-102.0,
97154,-50.0,
97486,-34.0,0.0
97567,-30.0,
97865,-123.0,163.0
97939,-17.0,
98094,-107.0,
98256,-101.0,12.0
98268,-25.0,
98313,-22.0,
98452,-137.0,12.0
98720,-186.0,
98842,-25.0,
99075,-59.0,
99088,-31.0,131.0
99151,-44.0,
99609,-151.0,27.0
99670,-27.0,
99799,-41.0,
99993,-94.0,
100064,-136.0,
100282,-54.0,207.0
100561,-35.0,
100621,-25.0,45.0
100758,-92.0,-23.0
100788,-82.0,
100893,-62.0,
101116,-80.0,
101187,-157.0,-74.0
101217,-121.0,93.0
101279,-144.0,
101306,-148.0,
101414,-163.0,-11.0
101420,-132.0,
101634,-50.0,
101700,-49.0,-25.0
101781,-103.0,
102028,-122.0,
102067,-24.0,12.0
102209,-57.0,109.0
102221,-58.0,
102343,-66.0,
102806,-107.0,
102849,-51.0,-4.0
102850,-39.0,
102854,-116.0,
102952,-100.0,
103496,12.0,
103535,-165.0,
103594,-85.0,-60.0
103800,-82.0,
103891,-144.0,-7.0
103904,-22.0,
103998,-42.0,
104054,-19.0,
104213,-92.0,
104215,-103.0,-43.0
104238,-131.0,-61.0
104316,-37.0,
104476,-109.0,
104480,-121.0,
104643,-152.0,
104772,-40.0,97.0
105125,-61.0,47.0
105168,-39.0,
105413,-43.0,
105523,-37.0,
105527,-92.0,
105629,-58.0,
105851,-29.0,
105883,-29.0,
105939,-50.0,
106095,-161.0,
106247,5.0,175.0
106383,-44.0,151.0
106553,-136.0,
106577,-107.0,
106588,-24.0,
106690,-87.0,19.0
106747,-124.0,-51.0
106793,-23.0,
107028,-58.0,
107084,-17.0,
107162,-93.0,
107339,-59.0,
107455,-22.0,
107489,-81.0,
107713,-19.0,173.0
107883,-82.0,68.0
107955,,-40.0
108118,-32.0,
108207,-268.0,
108275,-36.0,-15.0
108281,-57.0,
108330,-83.0,
108377,-53.0,
108497,-50.0,
108565,-48.0,57.0
108589,-108.0,
108760,-102.0,
108789,-165.0,
108799,-138.0,
108822,-44.0,
108834,-45.0,226.0
108859,-131.0,
108872,-80.0,
108947,-102.0,-12.0
108949,-57.0,101.0
109155,-80.0,
109372,-141.0,
109441,-89.0,
109577,-50.0,
109772,-25.0,
109782,-26.0,166.0
109907,-41.0,-31.0
109938,-44.0,
110085,-23.0,
110116,-93.0,
110175,-110.0,
110200,-93.0,
110461,-122.0,16.0
110524,-22.0,
110529,-44.0,129.0
110640,-162.0,
110789,-78.0,
110820,-108.0,90.0
110881,-43.0,
110911,-39.0,
111113,-92.0,
111360,-45.0,124.0
111383,-183.0,-51.0
111415,-44.0,-32.0
111512,-16.0,
111548,-152.0,164.0
111678,-62.0,
111717,-43.0,
111775,-22.0,
111926,-44.0,
111942,-128.0,
111959,-50.0,194.0
112010,-96.0,-51.0
112245,-73.0,
112441,-17.0,
112454,-123.0,
113295,-26.0,
113487,-150.0,-10.0
113565,-31.0,
113698,-52.0,
113702,-10.0,115.0
113824,-108.0,
114017,-29.0,
114367,-51.0,
114402,-9.0,
114500,-5.0,
114558,-86.0,
114999,-68.0,
115373,-86.0,
115452,-113.0,
115875,-138.0,-57.0
116174,-24.0,10.0
116290,-128.0,
116319,-8.0,
116499,-53.0,
116518,-122.0,
116529,-103.0,158.0
116541,-68.0,
116603,-28.0,
116606,-89.0,
116621,-78.0,
116631,-103.0,45.0
116692,-32.0,
116763,-62.0,58.0
116808,-51.0,
117071,-25.0,
117197,-66.0,
117232,-50.0,
117281,-155.0,
117435,-24.0,195.0
117510,-26.0,
117544,-141.0,
117545,-4.0,
117550,-17.0,
117699,-236.0,
117818,-92.0,
117862,-66.0,27.0
117939,-92.0,171.0
117969,-51.0,28.0
118050,-129.0,
118098,-26.0,
118176,-107.0,17.0
118213,-29.0,
118474,-10.0,
118479,-37.0,
118532,-29.0,
118578,-164.0,-57.0
118668,-28.0,
118877,-35.0,170.0
118887,-96.0,46.0
118983,-99.0,
119310,-30.0,25.0
119353,-54.0,
119437,-45.0,12.0
119444,-65.0,
119471,-66.0,
119729,-24.0,61.0
119865,-37.0,
119898,-195.0,
119902,-31.0,207.0
120236,-3.0,
120611,-129.0,
120994,-19.0,
120999,-60.0,
121000,-51.0,
121056,-81.0,-8.0
121163,-22.0,145.0
121182,-108.0,
121349,-28.0,
121390,-23.0,
121574,-96.0,
122337,-43.0,
122392,-17.0,
122459,-141.0,
122524,-68.0,
122636,-25.0,
122739,-34.0,
122846,-99.0,
122928,-40.0,
123044,-82.0,
123053,-44.0,170.0
123087,-162.0,
123183,-123.0,
123270,-123.0,
123379,-131.0,-59.0
123462,-71.0,
123497,-72.0,
123598,-32.0,
123716,-39.0,
123860,-29.0,
123957,-39.0,149.0
124006,-51.0,
124018,-134.0,33.0
124064,-44.0,
124124,-148.0,5.0
124134,-59.0,
124193,-29.0,
124210,-89.0,-31.0
124304,-60.0,
124379,-22.0,
124387,-58.0,135.0
124711,-155.0,54.0
124728,-153.0,7.0
124847,-116.0,-113.0
124909,-117.0,
124944,-24.0,
125018,-36.0,
125055,-57.0,
125063,-136.0,
125407,-52.0,
125535,-45.0,
125619,-123.0,0.0
125677,-276.0,-12.0
125777,-29.0,87.0
125830,-9.0,195.0
125874,-134.0,0.0
125996,-45.0,
126074,-136.0,41.0
126088,-64.0,
126322,-106.0,
126337,-183.0,153.0
126394,-37.0,
126395,-257.0,
126411,-124.0,
126450,-66.0,
126608,-24.0,
126713,-18.0,
126769,-107.0,
126800,-71.0,
126812,-61.0,
126912,-143.0,
127179,-81.0,12.0
127209,-255.0,-225.0
127580,-29.0,
127582,-31.0,
127642,-32.0,
127988,-26.0,
128072,-15.0,73.0
128132,-47.0,
128142,-108.0,
128348,-26.0,116.0
128386,-47.0,
128510,-185.0,58.0
128656,-24.0,
128678,-163.0,
128723,-145.0,23.0
128776,-97.0,24.0
128791,-23.0,147.0
128817,-53.0,79.0
128889,-12.0,
128929,-150.0,
128965,,-24.0
128968,-46.0,
128971,-26.0,
129198,-29.0,161.0
129212,-109.0,
129638,-29.0,101.0
129878,-172.0,
129907,-18.0,
129955,-197.0,135.0
129989,-86.0,
130003,-50.0,
130013,-71.0,
130034,-82.0,
130403,-22.0,
130409,-143.0,
130467,-193.0,
130547,-25.0,
130636,-68.0,
130658,-60.0,
130671,-45.0,
130837,-39.0,
130992,-121.0,
131051,-54.0,
131145,-103.0,
131152,-143.0,
131222,-152.0,
131235,-58.0,40.0
131272,-65.0,
131314,-123.0,
131390,-115.0,
131538,-72.0,
131597,-52.0,
131609,-16.0,27.0
131612,-107.0,
131663,-18.0,
131695,-128.0,-52.0
131776,-35.0,
131820,-11.0,
131933,-75.0,132.0
132055,-71.0,-15.0
132123,-23.0,
132157,-27.0,
132191,-176.0,57.0
132401,-90.0,
132423,-45.0,12.0
132453,-30.0,
132475,-100.0,
132477,-25.0,
132511,-144.0,
132626,-39.0,220.0
132924,-150.0,
132932,-4.0,
132972,-23.0,
132976,-75.0,
133019,-11.0,
133068,-106.0,
133104,-26.0,
133155,-55.0,
133185,-24.0,
133269,-114.0,-50.0
133322,-24.0,
133365,-45.0,
133419,-14.0,125.0
133531,-24.0,
133718,-25.0,
133748,-61.0,
133816,-15.0,
133922,-110.0,
134025,-58.0,
134123,-10.0,
134143,-96.0,
134188,-55.0,
134190,-70.0,32.0
134212,-37.0,
134243,-93.0,
134260,-108.0,
134336,-58.0,
134563,-46.0,
134578,-20.0,
134721,-138.0,12.0
134847,-33.0,67.0
134851,-109.0,
134920,-32.0,
134982,-113.0,
135075,-102.0,
135280,-23.0,
135330,-22.0,
135331,-45.0,
135335,-29.0,30.0
135385,-69.0,
135400,-32.0,144.0
135471,-149.0,
135763,-103.0,
135792,-142.0,
135999,-28.0,12.0
136054,-46.0,
136135,-17.0,
136335,-25.0,217.0
136793,-28.0,
136894,-130.0,
136944,-26.0,226.0
137150,-139.0,214.0
137281,-129.0,
137603,-184.0,
137873,-195.0,
137903,-23.0,
138204,-27.0,
138289,-44.0,
138407,-157.0,163.0
138416,-171.0,
138704,-17.0,
138709,-16.0,25.0
138710,-74.0,
138715,-94.0,160.0
138861,-12.0,
138920,-30.0,
138997,-116.0,
139033,-46.0,
139190,-113.0,
139206,-23.0,
139250,-52.0,
139278,-169.0,
139329,-95.0,
139455,-89.0,
139549,-99.0,
139701,-102.0,
139843,-139.0,
139949,-48.0,
140060,-30.0,
140108,-137.0,
140518,-96.0,
140719,-107.0,
140807,-148.0,
140866,-66.0,
140907,-23.0,
140938,-49.0,-11.0
141182,-23.0,-2.0
141301,-137.0,49.0
141355,-61.0,
141377,-110.0,129.0
141430,-59.0,
141497,-103.0,
141506,-28.0,
141648,-116.0,
141766,-25.0,-5.0
141823,-47.0,86.0
141827,-114.0,
141949,-60.0,
142092,-94.0,
142310,-94.0,
142324,-23.0,
142326,-37.0,
142339,-140.0,
142819,-24.0,
142935,-23.0,
142990,-75.0,
142998,-108.0,-47.0
143350,-43.0,
143711,-43.0,
143741,-16.0,
143752,-144.0,27.0
143755,-144.0,
143854,-23.0,27.0
144448,-61.0,
144562,-59.0,
144745,-24.0,
144747,-27.0,
144801,-67.0,
144895,-152.0,
144908,-71.0,63.0
144923,-29.0,
144959,-143.0,94.0
145114,-102.0,
145130,-36.0,
145188,-60.0,
145280,-116.0,
145282,-67.0,
145388,-5.0,
145490,-15.0,
145544,-45.0,
145578,-68.0,68.0
145640,-22.0,
145770,-87.0,54.0
146089,-53.0,
146125,-36.0,33.0
146165,-37.0,
146188,-132.0,
146192,-37.0,
146455,-37.0,30.0
146485,-115.0,
146503,-30.0,
146600,-141.0,
146651,-24.0,
146666,-29.0,
146679,-23.0,33.0
146738,-31.0,
146943,-161.0,96.0
146974,-44.0,
147168,-289.0,
147307,-79.0,30.0
147328,-96.0,
147675,-158.0,89.0
147715,-43.0,
147756,-92.0,
147793,-138.0,58.0
147876,-53.0,
148008,-75.0,
148282,-60.0,
148328,-58.0,62.0
148414,-155.0,
148427,-113.0,
148515,-164.0,
148931,-165.0,-4.0
148993,-174.0,158.0
149178,-18.0,
149567,-10.0,26.0
149680,-135.0,
149693,-53.0,
149741,-74.0,
149962,-92.0,
149964,-75.0,
150121,-144.0,-79.0
150282,-16.0,
150398,-77.0,
150578,-110.0,
150763,-54.0,
151358,-44.0,
151465,-55.0,
151549,-95.0,
151587,-129.0,234.0
151697,-23.0,
151745,-80.0,
151800,-47.0,
151917,-80.0,
152037,-120.0,-66.0
152153,-93.0,157.0
152320,-118.0,199.0
152428,-24.0,
152524,-94.0,
152587,-50.0,
152626,-34.0,
152668,-72.0,104.0
152671,-22.0,
152867,-31.0,18.0
152887,-32.0,107.0
152910,-8.0,
152917,-56.0,
152929,-104.0,
152962,-26.0,
152973,-5.0,
153110,-23.0,
153170,-37.0,
153212,-82.0,
153611,-29.0,
153687,-37.0,-30.0
153704,-166.0,166.0
153785,-23.0,
153788,-153.0,
154011,-29.0,
154027,-19.0,
154057,-30.0,
154059,-57.0,
154073,-149.0,
154125,-17.0,
154191,-107.0,
154540,-34.0,
154570,-64.0,117.0
154697,-17.0,139.0
155067,-92.0,
155158,-27.0,
155256,-24.0,
155298,-145.0,
155484,-93.0,
155511,-29.0,
155550,-16.0,
155631,-89.0,
155735,-45.0,13.0
155854,-54.0,
155938,-102.0,
155956,-31.0,
155963,-22.0,
155984,-64.0,191.0
156127,-36.0,
156171,-92.0,
156311,-23.0,
156358,-53.0,197.0
156594,-23.0,
156755,-125.0,-38.0
156783,-54.0,
156788,-195.0,45.0
156835,-135.0,
157060,-29.0,
157225,-34.0,128.0
157276,-29.0,
157298,-78.0,
157308,-31.0,
157310,-16.0,
157568,-52.0,
157647,-96.0,
157752,-28.0,
157795,-16.0,
158575,-156.0,114.0
158611,-61.0,
158707,-57.0,172.0
158708,-32.0,
158831,-43.0,
159287,-110.0,
159293,-141.0,
159484,-110.0,
159571,-11.0,
159596,-96.0,160.0
159906,-64.0,
159925,-128.0,
159947,-14.0,
159954,-46.0,123.0
160005,-89.0,
160026,-53.0,
160178,-89.0,-24.0
160181,-120.0,166.0
160193,-55.0,108.0
160262,-8.0,
160300,-201.0,
160310,-117.0,
160401,-116.0,96.0
160472,-79.0,
160479,-46.0,
160536,-26.0,
160720,-73.0,9.0
160934,-52.0,
160945,-8.0,
160946,-81.0,
161286,-100.0,-46.0
161491,-64.0,
161658,-58.0,
161678,-27.0,
161781,-38.0,72.0
161811,-161.0,-1.0
161837,-86.0,-36.0
161878,-68.0,209.0
162210,-23.0,
162337,-96.0,
162646,-25.0,
162650,-23.0,
162809,-75.0,
162901,-101.0,-3.0
162984,-81.0,54.0
163067,-72.0,
163120,-82.0,
163332,-23.0,
163962,-96.0,58.0
163996,-154.0,
164148,-46.0,
164211,-24.0,
164259,-64.0,
164451,-10.0,100.0
164708,-103.0,86.0
164922,-32.0,
164935,-137.0,
164944,-148.0,
164968,-157.0,
165099,-142.0,
165178,-129.0,37.0
165226,-22.0,
165243,-25.0,
165376,-16.0,
165421,-19.0,
165498,-82.0,-11.0
165509,-186.0,
165617,-87.0,
165647,-190.0,143.0
165733,-99.0,
165806,-11.0,
165823,-145.0,12.0
165898,-17.0,
165904,-67.0,
166123,-28.0,
166160,-25.0,
166183,-44.0,
166327,-28.0,
166342,-27.0,
166421,-22.0,
166607,-24.0,110.0
166713,-29.0,
166988,-37.0,
167106,-79.0,
167123,-136.0,-122.0
167557,-61.0,219.0
167717,-25.0,
167759,-23.0,
167791,-109.0,
167906,-117.0,
167945,-30.0,101.0
167961,-44.0,
168178,-109.0,
168229,-36.0,
168243,-99.0,44.0
168843,-27.0,152.0
168845,-110.0,-84.0
168936,-32.0,
169008,9.0,
169079,-54.0,
169213,-195.0,
169297,-38.0,162.0
169380,-34.0,
169400,-39.0,
169490,-144.0,
169515,-50.0,135.0
169555,-22.0,
169596,-14.0,
169700,-148.0,
169858,-4.0,
169894,-37.0,82.0
169908,-73.0,
170025,-89.0,
170030,-54.0,
170165,-180.0,
170356,-46.0,68.0
170519,-148.0,0.0
170864,-26.0,
170874,-89.0,
170936,-114.0,
170943,-61.0,
171107,-167.0,-45.0
171304,-39.0,
171334,-27.0,53.0
171377,-90.0,
171549,-150.0,116.0
171692,-92.0,
171751,-47.0,
171843,-149.0,
171896,-24.0,
172112,-50.0,
172137,-24.0,
172301,-176.0,34.0
172493,-56.0,
172797,-45.0,
172965,-54.0,-32.0
173004,-59.0,209.0
173163,-38.0,
173316,-99.0,
173335,-61.0,
173341,-80.0,
173370,-57.0,
173412,-108.0,184.0
173710,-102.0,
173834,-59.0,
174010,-47.0,
174024,-85.0,
174094,-89.0,
174155,-50.0,-47.0
174222,-60.0,
174321,-82.0,-19.0
174436,-110.0,
174440,-39.0,
174468,-33.0,
174487,-109.0,
174512,-173.0,-136.0
174745,-30.0,
174782,-162.0,
174805,-96.0,48.0
174807,-106.0,-26.0
175392,-195.0,
175447,-115.0,
175453,-54.0,
175490,-40.0,
175638,-43.0,
175772,-45.0,67.0
175804,-31.0,12.0
175932,-92.0,
175940,-51.0,
175991,-57.0,
176086,-43.0,
176092,-66.0,
177186,-17.0,9.0
177333,-34.0,
177354,-59.0,
177472,-13.0,
177492,-22.0,
177554,-120.0,
177568,-33.0,
177639,-24.0,11.0
177781,-58.0,
177817,-22.0,222.0
177967,-41.0,
177981,-16.0,
178020,-40.0,
178072,-46.0,195.0
178118,-114.0,
178179,-44.0,
178258,-171.0,-92.0
178496,-148.0,
178639,-85.0,
178654,-234.0,-88.0
178738,-37.0,
178935,-68.0,9.0
178963,-8.0,
179073,-35.0,157.0
179081,-113.0,
179254,-61.0,
179297,-18.0,
179605,-68.0,76.0
179718,-40.0,
179892,-110.0,
179904,-108.0,
180651,-60.0,
180667,-28.0,
180753,-64.0,
180958,-79.0,
180974,-77.0,130.0
180976,-109.0,
181251,-44.0,
181316,-39.0,60.0
181508,-55.0,
181719,-45.0,46.0
181861,-142.0,
181992,-24.0,
182400,-27.0,
182468,-58.0,
182661,-31.0,
182824,-43.0,
182854,-14.0,
183057,-23.0,
183096,-128.0,
183287,-128.0,74.0
183331,-88.0,19.0
183429,-26.0,
183714,-310.0,
183806,-104.0,
183947,-32.0,
184025,-148.0,
184129,-22.0,
184137,-73.0,
184234,-18.0,
184236,-29.0,-12.0
184271,-74.0,
184409,-95.0,
184473,-33.0,
184583,-43.0,
184627,-37.0,75.0
184720,-29.0,100.0
184897,-158.0,-52.0
184925,-75.0,-46.0
184968,-64.0,74.0
184972,-45.0,
185021,-96.0,
185024,-61.0,170.0
185057,-123.0,
185127,-54.0,
185240,-87.0,33.0
185349,-54.0,
185350,-22.0,
185439,-12.0,
185451,-89.0,145.0
185496,-22.0,
185597,-59.0,-51.0
185994,-114.0,
186149,-109.0,
186380,-23.0,
186476,-19.0,
